Index,Keyword,Tweets
0,pewdiepie,watching minecraft lol
1,pewdiepie,Who BEST YouTuber 2019 PewDiePie Vote favorite
2,pewdiepie,feel like ever since PewDiePie brought fake news quitting YouTube EVERY SINGLE News media set ou
3,pewdiepie,Who BEST YouTuber 2019 PewDiePie Vote favorite
4,pewdiepie,I thread Pewdiepie leaving I see bunch gifs Kpop Listen like Kpop good But
5,pewdiepie,My favourite Youtube channels past decade 2010 2011 2012 2013
6,pewdiepie,YouTube Kid Channel Ryan World Pulled Estimated 26 Million 2019 Double PewDiePie Haul
7,pewdiepie,MFs Be Watching PewDiePie But Can Understand A PIE Chart Of How Many People DIE From Racial PEWrists
8,pewdiepie,PEWDIEPIE Hey guys I taking quick break I tired I need recharge bit No biggie NEWS PEWDIEPIE GOE
9,pewdiepie,Kinda cringe
10,pewdiepie,YouTube Kid Channel Ryan World Pulled Estimated 26 Million 2019 Double PewDiePie Haul
11,pewdiepie,
12,pewdiepie,"102,000,000 subscribers 18,000,000 subscribers 120 million"
13,pewdiepie,My favourite Youtube channels past decade 2010 2011 2012 2013
14,pewdiepie,best Minecraft YouTube channel
15,pewdiepie,My favourite Youtube channels past decade 2010 2011 2012 2013
16,pewdiepie,BREAKING PewDiePie officially deleted Twitter uploading video hates twitter
17,pewdiepie,My favourite Youtube channels past decade 2010 2011 2012 2013
18,pewdiepie,For reason ca n't stop creating cursed versions pixelings Play Pixelings gt
19,pewdiepie,PewDiePie Stan Twitter
20,pewdiepie,'Forbes also lists Jeffree Star Dude Perfect PewDiePie
21,pewdiepie,My favourite Youtube channels past decade 2010 2011 2012 2013
22,pewdiepie,My favourite Youtube channels past decade 2010 2011 2012 2013
23,pewdiepie,My favourite Youtube channels past decade 2010 2011 2012 2013
24,pewdiepie,`` I would eat baby yoda '' Pewdiepie 2019
25,pewdiepie,My favourite Youtube channels past decade 2010 2011 2012 2013
26,pewdiepie,Pewdiepie played World tanks I remembered I played first time
27,pewdiepie,2019 Highest-paid YouTubers according 1 Ryan Kaji- 26M 2 Dude Perfect- 20M 3 Anastasia Radzinskaya-
28,pewdiepie,So believe News said PewDiePie quitting YouTube forever
29,pewdiepie,Oh forgot
30,pewdiepie,My favourite Youtube channels past decade 2010 2011 2012 2013
31,pewdiepie,pewdiepie crystal pepsi
32,pewdiepie,'Forbes also lists Jeffree Star Dude Perfect PewDiePie
33,pewdiepie,Disagreement implying getting first/early advantage It The early adapters usual
34,pewdiepie,I 'm surprised woman flippantly called PewDiePie antisemitist prides fake div
35,pewdiepie,
36,pewdiepie,Hey switch pornhub instead youtube
37,pewdiepie,`` fuck twitter '' plato
38,pewdiepie,My favourite Youtube channels past decade 2010 2011 2012 2013
39,pewdiepie,I got first 2 mythical pixelings Pewdiepie Pixelings
40,pewdiepie,Or Or Which Game Is The Best Vote Now
41,pewdiepie,This end result let PewDiePie influence young
42,pewdiepie,Wow Pewdiepie puts philosophical video teaching people happy Basically long around way saying
43,pewdiepie,My favourite Youtube channels past decade 2010 2011 2012 2013
44,pewdiepie,2019 Highest-paid YouTubers according 1 Ryan Kaji- 26M 2 Dude Perfect- 20M 3 Anastasia Radzinskaya-
45,pewdiepie,Or Or Which Game Is The Best Vote Now
46,pewdiepie,From one pewdiepie fan another hello
47,pewdiepie,oh shit pewdiepie
48,pewdiepie,dude I
49,pewdiepie,want fuck old pewdiepie much
50,pewdiepie,someone plz many times PewDiePie swears
51,pewdiepie,dont know arden think ryan higa almost popular pewdiepie back right
52,pewdiepie,I ALSO JUST CHECKED SOME TOXIC BITCHES TWITTER FROM HIGH SCHOOL AND SHE GOT A FUCKIN PEWDIEPIE INSPIRED TATTOO IM-
53,pewdiepie,2019 Highest-paid YouTubers according 1 Ryan Kaji- 26M 2 Dude Perfect- 20M 3 Anastasia Radzinskaya-
54,pewdiepie,I got first 2 mythical pixelings Pewdiepie Pixelings
55,pewdiepie,Man I 'm gon na kill PewDiePie
56,pewdiepie,YouTubers Silicon Valley fans help MrBeast raise 20 million tree charity
57,pewdiepie,I got first 2 mythical pixelings Pewdiepie Pixelings
58,pewdiepie,PewDiePie overworked
59,pewdiepie,My favourite Youtube channels past decade 2010 2011 2012 2013
60,pewdiepie,What 's goin dudes My name PewDiePie comin ya new makeup tutorial But first lets try get
61,pewdiepie,
62,pewdiepie,My favourite Youtube channels past decade 2010 2011 2012 2013
63,pewdiepie,2019 Highest-paid YouTubers according 1 Ryan Kaji- 26M 2 Dude Perfect- 20M 3 Anastasia Radzinskaya-
64,pewdiepie,Pewdiepie completely different thing Rowling actively defending someone literally lost th
65,pewdiepie,someone reply something along lines `` PEWDIEPIE IS N'T A NAZI YOU LIBTARD SJW ''
66,pewdiepie,YouTubers Silicon Valley fans help MrBeast raise 20 million tree charity
